State,Crime Rate,Violent Crime Rate,Avg Teacher's Salary,Student Teacher Ratio,Expenditure per Student,Population Density,Median Household Income,High School Completion
Alabama,3605.0,427.4,49375,15.6,8797,95.8,49936,86
Alaska,3395.8,635.8,65891,8.7,20117,1.3,68734,71
Arizona,3597.4,399.9,45335,17.7,7461,60.1,62283,76
Arkansas,3818.1,480.1,48493,8.0,9573,57.2,49781,87
California,2837.2,396.1,71396,20.2,11145,251.0,70489,81
Colorado,2839.2,309.1,49615,16.6,10899,52.6,73034,77
Connecticut,2157.3,236.9,70583,12.8,17759,741.2,72812,87
Delaware,3471.1,489.1,59305,13.3,15858,484.1,65012,87
Florida,3956.0,540.5,47780,15.1,9223,375.9,54644,76
Georgia,3658.5,377.3,53560,20.8,9291,176.4,55821,73
Hawaii,3309.2,259.2,56291,14.9,12014,222.9,80108,82
Idaho,2067.0,212.2,44465,18.6,8928,20.0,58728,77
Illinois,2445.9,370.0,60124,18.8,13870,231.4,70145,86
Indiana,3014.7,365.3,50289,16.8,8034,184.6,59892,88
Iowa,2367.3,273.5,51744,19.2,10613,55.9,68718,91
Kansas,3083.8,348.6,48221,8.4,9822,35.6,63938,86
Kentucky,2458.5,211.6,50949,30.1,9635,111.4,54555,88
Louisiana,3973.5,514.7,49067,13.7,10511,107.2,49973,75
Maine,2114.2,127.8,48702,12.7,8957,43.1,58663,87
Maryland,2953.6,446.1,65363,16.0,14249,614.5,86223,86
Massachusetts,2248.5,391.4,73195,12.0,16678,866.6,86345,86
Michigan,2471.2,427.3,62166,16.4,15175,174.7,60449,79
Minnesota,2526.6,229.1,54752,17.0,12180,69.0,71817,81
Mississippi,3199.7,278.5,42187,13.7,8779,63.8,42781,78
Missouri,3349.4,442.9,46750,8.8,10755,88.3,61726,87
Montana,2796.6,323.7,49893,12.0,10859,7.1,57679,85
Nebraska,2803.9,280.4,49662,10.8,10012,24.7,67575,90
Nevada,3261.0,635.6,55813,19.1,8956,26.3,61864,70
New Hampshire,2158.8,196.1,57057,12.1,17115,148.4,81346,88
New Jersey,1995.3,261.2,70043,11.8,20925,1207.8,74176,89
New Mexico,4139.7,597.4,46426,20.9,10633,17.2,48283,69
New York,2100.0,381.8,76409,10.9,21366,419.3,67274,78
North Carolina,3202.6,329.5,44990,15.6,8620,206.2,53369,84
North Dakota,2375.4,265.1,48666,12.1,8518,11.0,66505,87
Ohio,3084.0,284.9,54858,15.7,15175,283.6,61633,82
Oklahoma,3396.7,406.0,45529,22.9,7977,57.0,54434,83
Oregon,3111.3,232.3,59333,21.0,11127,42.0,69165,72
Pennsylvania,2245.8,314.1,63701,14.0,15691,285.7,64524,85
Rhode Island,2392.8,219.2,64696,16.2,19676,1010.8,62266,81
South Carolina,3958.0,497.7,47198,14.4,10005,162.6,57444,80
South Dakota,2190.4,326.5,40259,13.8,8989,11.3,59463,83
Tennessee,3669.0,608.4,47742,14.7,9105,160.1,56060,87
Texas,3425.3,405.9,50213,13.3,8962,104.9,59785,88
Utah,3094.1,215.6,45654,22.1,7711,36.5,77067,84
Vermont,1623.7,99.3,55958,10.4,23149,67.7,70066,88
Virginia,2126.5,196.2,49826,11.8,10980,211.7,77151,85
Washington,3991.3,285.2,53512,20.0,10055,107.8,79726,78
West Virginia,2336.7,302.0,45887,15.5,12859,76.6,50573,85
Wisconsin,2378.6,290.3,54648,16.0,11424,106.3,62629,89
Wyoming,2160.2,195.5,57318,11.7,16127,6.0,62539,79
